FEEDBACK_TYPE,NUMBER,STARTED,FIXER_FAILED,VALID_BUT_NOT_COMPLETED,COMPLETED_BUT_NO_EVAL,EVALUATED
COVERAGE,1,490,38,3,0,449
COVERAGE,2,449,27,6,0,416
COVERAGE,3,416,15,1,0,400
COVERAGE,4,400,6,0,0,394
COVERAGE,5,394,11,4,0,379
COVERAGE,6,379,8,2,0,369
COVERAGE,7,369,14,0,0,355
COVERAGE,8,355,4,1,0,350
COVERAGE,9,350,8,3,0,339
COVERAGE,10,339,4,1,0,334
INITIAL,0,523,26,7,0,490
MUTATION,1,482,31,5,0,446
MUTATION,2,446,13,3,0,430
MUTATION,3,430,9,3,0,418
MUTATION,4,418,15,0,0,403
MUTATION,5,403,9,1,0,393
MUTATION,6,393,7,2,0,383
MUTATION,7,383,6,2,0,375
MUTATION,8,375,10,2,0,363
MUTATION,9,363,12,1,0,350
MUTATION,10,350,10,2,0,338
