RUN_UUID,CLASS_NAME,FEEDBACK_TYPE,NUMBER,INPUT_TOKEN_COUNT,OUTPUT_TOKEN_COUNT
019c6924-6992-7838-b492-1516beb1e40a,com.google.gson.internal.ConstructorConstructor,INITIAL,0,9976,12047
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,1,4435,1497
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,2,26001,12194
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,3,5013,2243
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,4,5207,2573
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,5,5479,3453
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,6,8298,5344
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,7,5883,3583
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,8,23419,12559
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,9,6504,3948
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,COVERAGE,10,22674,14048
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,INITIAL,0,3230,1519
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,1,11517,1844
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,2,15424,3096
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,3,17675,6153
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,4,9690,2316
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,5,15762,5885
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,6,9900,2930
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,7,12996,6168
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,8,10275,2962
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,9,10115,3189
019c6925-f090-7e19-b77b-d487f25d2766,com.google.gson.internal.bind.util.ISO8601Utils,MUTATION,10,10282,3250
019c6935-2cd3-7122-a2a6-cc5256165666,com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,INITIAL,0,675,2982
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,1,18299,1224
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,2,18204,1638
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,3,49226,6398
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,4,18698,2115
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,5,66671,12227
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,6,18950,2967
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,7,19181,3067
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,8,38951,11082
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,9,19629,3390
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,COVERAGE,10,19595,3682
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,INITIAL,0,13266,666
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,1,54633,995
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,2,68384,2553
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,3,52506,1796
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,4,67728,3372
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,5,52598,2000
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,6,99495,10153
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,7,52868,1964
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,8,52978,2269
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,9,70844,7601
019c6935-8ab3-7668-8007-c0065e5d5fd5,com.google.gson.stream.JsonReader,MUTATION,10,52586,2664
019c6944-4c64-7ffe-a01e-f355e9e4138c,com.google.gson.internal.UnsafeAllocator,COVERAGE,1,7620,2903
019c6944-4c64-7ffe-a01e-f355e9e4138c,com.google.gson.internal.UnsafeAllocator,COVERAGE,2,4145,3173
019c6944-4c64-7ffe-a01e-f355e9e4138c,com.google.gson.internal.UnsafeAllocator,COVERAGE,3,1996,1760
019c6944-4c64-7ffe-a01e-f355e9e4138c,com.google.gson.internal.UnsafeAllocator,COVERAGE,4,1996,1931
019c6944-4c64-7ffe-a01e-f355e9e4138c,com.google.gson.internal.UnsafeAllocator,COVERAGE,5,5020,3461
019c6944-4c64-7ffe-a01e-f355e9e4138c,com.google.gson.internal.UnsafeAllocator,COVERAGE,6,2331,1822
019c6944-4c64-7ffe-a01e-f355e9e4138c,com.google.gson.internal.UnsafeAllocator,COVERAGE,7,5429,4296
019c6944-4c64-7ffe-a01e-f355e9e4138c,com.google.gson.internal.UnsafeAllocator,COVERAGE,8,2513,3203
019c6944-4c64-7ffe-a01e-f355e9e4138c,com.google.gson.internal.UnsafeAllocator,COVERAGE,9,2529,2131
