FEEDBACK_TYPE,NUMBER,STARTED,FIXER_FAILED,VALID_BUT_NOT_COMPLETED,COMPLETED_BUT_NO_EVAL,EVALUATED
COVERAGE,1,485,55,9,0,421
COVERAGE,2,421,31,8,0,382
COVERAGE,3,382,15,6,0,361
COVERAGE,4,361,16,1,0,344
COVERAGE,5,344,8,3,0,333
COVERAGE,6,333,12,2,0,319
COVERAGE,7,319,7,1,0,311
COVERAGE,8,311,9,3,0,299
COVERAGE,9,299,5,0,0,294
COVERAGE,10,294,6,2,0,286
INITIAL,0,548,60,3,0,485
MUTATION,1,475,28,6,0,441
MUTATION,2,441,30,2,0,409
MUTATION,3,409,26,3,0,380
MUTATION,4,380,19,1,0,360
MUTATION,5,360,14,6,0,340
MUTATION,6,340,9,2,0,329
MUTATION,7,329,11,3,0,315
MUTATION,8,315,14,1,0,300
MUTATION,9,300,6,2,0,292
MUTATION,10,292,9,2,0,281
