D4J_PROJECT,FEEDBACK_TYPE,FREQUENCY,ERROR
JacksonCore,,58,Fixer (out of reprompts)
JacksonCore,,2,Fixer (no test methods)
JacksonCore,,2,Fixer (parse exception)
JacksonCore,,1,Evaluation (test fail)
JacksonCore,COVERAGE,153,Fixer (out of reprompts)
JacksonCore,COVERAGE,31,Evaluation (test fail)
JacksonCore,COVERAGE,9,Fixer (no test methods)
JacksonCore,COVERAGE,4,Fixer (parse exception)
JacksonCore,COVERAGE,1,Fixer (test exception)
JacksonCore,COVERAGE,1,OpenAI API error (context)
JacksonCore,MUTATION,156,Fixer (out of reprompts)
JacksonCore,MUTATION,35,Evaluation (test fail)
JacksonCore,MUTATION,10,Fixer (no test methods)
JacksonCore,MUTATION,3,Fixer (parse exception)
