RUN_UUID,CLASS_NAME,FEEDBACK_TYPE,NUMBER,INPUT_TOKEN_COUNT,OUTPUT_TOKEN_COUNT
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,1,40675,3058
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,2,44363,6052
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,3,39593,2372
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,4,42139,4953
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,5,42686,6214
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,6,40199,3404
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,7,40552,3412
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,8,60353,23893
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,INITIAL,0,25835,1002
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,1,148323,1994
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,2,175113,4187
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,3,147292,4700
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,4,145454,2274
019c643d-a046-7967-993f-ac96fd080281,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,5,155619,17532
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,1,7298,2141
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,2,26600,8657
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,3,26478,9114
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,4,8724,3137
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,5,8922,3082
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,6,8922,3064
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,7,8922,3209
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,8,8922,3425
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9,9009,3910
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,10,9094,3443
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,INITIAL,0,17865,2987
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,1,24106,3945
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,2,17111,2225
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,3,34025,10977
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,4,16784,2616
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,5,19576,5619
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,6,17152,3004
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,7,17193,3617
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,8,17612,3452
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,9,17695,3655
019c6451-c10e-7be1-8c74-491db8c48008,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,10,17767,3678
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,COVERAGE,1,8566,5188
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,COVERAGE,2,9714,7863
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,COVERAGE,3,3723,2731
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,COVERAGE,4,4004,2526
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,COVERAGE,5,4237,2589
