RUN_UUID,RUN_COMPLETED,RUN_DURATION_MINUTES,RUN_SUCCESSFUL,D4J_PROJECT,D4J_BUG_ID,MODEL,REASONING_LEVEL,MAX_FIX_REPROMPTS,FEEDBACK_ITERATIONS,CLASS_NAME,FEEDBACK_TYPE,FEEDBACK_LOOP_DURATION_MINUTES,FEEDBACK_LOOP_SUCCESSFUL,ITERATION,ITERATION_DURATION_MINUTES,FIX_REPROMPT_COUNT,REAL_BUG_RESULT,MUTANTS,COVERED_MUTANTS,KILLED_MUTANTS,LINE_COVERAGE,BRANCH_COVERAGE
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,13.08018333333,false,0,1.01110000000,0,UNDETECTED,3601,523,268,0.14025974025974025,0.09547244094488189
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,13.08018333333,false,1,1.45613333333,1,UNDETECTED,3601,579,304,0.1538961038961039,0.1062992125984252
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,13.08018333333,false,2,1.59891666667,2,UNDETECTED,3601,871,497,0.2025974025974026,0.1377952755905512
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,13.08018333333,false,3,1.09293333333,0,UNDETECTED,3601,942,536,0.22532467532467532,0.15649606299212598
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,13.08018333333,false,4,1.62998333333,1,UNDETECTED,3601,1043,598,0.2512987012987013,0.1732283464566929
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,13.08018333333,false,5,1.71916666667,1,UNDETECTED,3601,1043,595,0.2525974025974026,0.1732283464566929
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,13.08018333333,false,6,1.33805000000,0,UNDETECTED,3601,1043,597,0.2525974025974026,0.17421259842519685
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,13.08018333333,false,7,1.23888333333,0,UNDETECTED,3601,1045,602,0.2551948051948052,0.17716535433070865
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,13.08018333333,false,8,,6,,,,,,
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,7.45588333333,false,0,1.01110000000,0,UNDETECTED,3601,523,268,0.14025974025974025,0.09547244094488189
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,7.45588333333,false,1,0.94878333333,0,UNDETECTED,3601,615,323,0.16103896103896104,0.10826771653543307
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,7.45588333333,false,2,1.45418333333,1,UNDETECTED,3601,681,362,0.18311688311688312,0.12696850393700787
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,7.45588333333,false,3,1.28216666667,1,UNDETECTED,3601,681,362,0.18311688311688312,0.12696850393700787
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,7.45588333333,false,4,1.08518333333,0,UNDETECTED,3601,833,437,0.22142857142857142,0.14763779527559054
019c643d-a046-7967-993f-ac96fd080281,true,21.97808333333,false,JacksonCore,3,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,7.45588333333,false,5,,6,,,,,,
019c6451-c10e-7be1-8c74-491db8c48008,true,21.04856666667,true,JacksonCore,4,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9.81671666667,true,0,0.85311666667,1,UNDETECTED,480,239,115,0.49236641221374045,0.3880597014925373
019c6451-c10e-7be1-8c74-491db8c48008,true,21.04856666667,true,JacksonCore,4,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9.81671666667,true,1,0.80105000000,0,UNDETECTED,480,299,132,0.6412213740458015,0.4925373134328358
019c6451-c10e-7be1-8c74-491db8c48008,true,21.04856666667,true,JacksonCore,4,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9.81671666667,true,2,1.68685000000,2,UNDETECTED,480,335,153,0.7251908396946565,0.5522388059701493
019c6451-c10e-7be1-8c74-491db8c48008,true,21.04856666667,true,JacksonCore,4,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9.81671666667,true,3,1.66053333333,2,UNDETECTED,480,356,161,0.7786259541984732,0.5746268656716418
019c6451-c10e-7be1-8c74-491db8c48008,true,21.04856666667,true,JacksonCore,4,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9.81671666667,true,4,0.79536666667,0,UNDETECTED,480,356,161,0.7786259541984732,0.5746268656716418
019c6451-c10e-7be1-8c74-491db8c48008,true,21.04856666667,true,JacksonCore,4,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9.81671666667,true,5,0.72248333333,0,UNDETECTED,480,356,161,0.7786259541984732,0.5746268656716418
019c6451-c10e-7be1-8c74-491db8c48008,true,21.04856666667,true,JacksonCore,4,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9.81671666667,true,6,0.74321666667,0,UNDETECTED,480,356,161,0.7786259541984732,0.5746268656716418
019c6451-c10e-7be1-8c74-491db8c48008,true,21.04856666667,true,JacksonCore,4,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9.81671666667,true,7,0.84063333333,0,UNDETECTED,480,356,161,0.7786259541984732,0.5746268656716418
019c6451-c10e-7be1-8c74-491db8c48008,true,21.04856666667,true,JacksonCore,4,gpt-5-nano-2025-08-07,low,5,10,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9.81671666667,true,8,0.80001666667,0,UNDETECTED,480,356,161,0.7786259541984732,0.5746268656716418
