FEEDBACK_TYPE,NUMBER,STARTED,FIXER_FAILED,VALID_BUT_NOT_COMPLETED,COMPLETED_BUT_NO_EVAL,EVALUATED
COVERAGE,1,480,23,16,0,441
COVERAGE,2,441,4,8,0,429
COVERAGE,3,429,6,3,0,420
COVERAGE,4,420,14,2,0,404
COVERAGE,5,404,8,4,0,392
COVERAGE,6,392,6,2,0,384
COVERAGE,7,384,4,2,0,378
COVERAGE,8,378,4,2,0,372
COVERAGE,9,372,4,1,0,367
COVERAGE,10,367,3,1,0,363
INITIAL,0,512,31,1,0,480
MUTATION,1,477,9,22,0,446
MUTATION,2,446,7,8,0,431
MUTATION,3,431,8,1,0,422
MUTATION,4,422,10,2,0,410
MUTATION,5,410,6,5,0,399
MUTATION,6,399,4,0,0,395
MUTATION,7,395,7,0,0,388
MUTATION,8,388,3,0,0,385
MUTATION,9,385,3,2,0,380
MUTATION,10,380,6,0,0,374
