RUN_UUID,CLASS_NAME,FEEDBACK_TYPE,NUMBER,INPUT_TOKEN_COUNT,OUTPUT_TOKEN_COUNT
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,1,16701,3002
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,2,32575,5211
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,3,17210,3115
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,4,17345,3096
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,5,81661,17481
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,6,33725,6589
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,7,34202,7024
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,8,17736,3252
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,9,17736,3492
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,COVERAGE,10,17736,3199
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,INITIAL,0,75840,12788
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,MUTATION,1,41495,2588
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,MUTATION,2,56925,5864
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,MUTATION,3,41409,2809
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,MUTATION,4,89124,15888
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,MUTATION,5,41503,2895
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,MUTATION,6,41503,3127
019c8661-3235-751e-bd75-87fc87674981,org.apache.commons.lang3.math.NumberUtils,MUTATION,7,122935,24439
