NUMBER,COVERAGE_STARTED,COVERAGE_FIXER_FAILED,COVERAGE_VALID_BUT_NOT_COMPLETED,COVERAGE_COMPLETED_BUT_NO_EVAL,COVERAGE_EVALUATED,INITIAL_STARTED,INITIAL_FIXER_FAILED,INITIAL_VALID_BUT_NOT_COMPLETED,INITIAL_COMPLETED_BUT_NO_EVAL,INITIAL_EVALUATED,MUTATION_STARTED,MUTATION_FIXER_FAILED,MUTATION_VALID_BUT_NOT_COMPLETED,MUTATION_COMPLETED_BUT_NO_EVAL,MUTATION_EVALUATED
0,,,,,,1583,117,11,0,1455,,,,,
1,1455,116,28,0,1311,,,,,,1434,68,33,0,1333
2,1311,62,22,0,1227,,,,,,1333,50,13,0,1270
3,1227,36,10,0,1181,,,,,,1270,43,7,0,1220
4,1181,36,3,0,1142,,,,,,1220,44,3,0,1173
5,1142,27,11,0,1104,,,,,,1173,29,12,0,1132
6,1104,26,6,0,1072,,,,,,1132,20,4,0,1107
7,1072,25,3,0,1044,,,,,,1107,24,5,0,1078
8,1044,17,6,0,1021,,,,,,1078,27,3,0,1048
9,1021,17,4,0,1000,,,,,,1048,21,5,0,1022
10,1000,13,4,0,983,,,,,,1022,25,4,0,993
