ITERATION,LINE_COVERAGE_DIFF_mean,LINE_COVERAGE_DIFF_hw,LINE_COVERAGE_DIFF_n,BRANCH_COVERAGE_DIFF_mean,BRANCH_COVERAGE_DIFF_hw,BRANCH_COVERAGE_DIFF_n,RAW_MUT_SCORE_DIFF_mean,RAW_MUT_SCORE_DIFF_hw,RAW_MUT_SCORE_DIFF_n,COV_MUT_SCORE_DIFF_mean,COV_MUT_SCORE_DIFF_hw,COV_MUT_SCORE_DIFF_n
0,0.00000,0.00000,1455,0.00000,0.00000,1455,0.00000,0.00000,1404,0.00000,0.00000,1370
1,-0.03839,0.00474,1223,-0.02120,0.00439,1223,-0.00179,0.00391,1174,0.01816,0.00482,1151
2,-0.04680,0.00518,1103,-0.02739,0.00507,1103,-0.00350,0.00416,1055,0.01959,0.00485,1041
3,-0.05410,0.00593,1033,-0.03231,0.00587,1033,-0.00478,0.00470,988,0.02160,0.00542,978
4,-0.05204,0.00594,971,-0.02936,0.00625,971,-0.00169,0.00484,928,0.02343,0.00581,921
5,-0.05070,0.00606,918,-0.02631,0.00646,918,0.00117,0.00492,876,0.02640,0.00622,871
6,-0.05077,0.00647,886,-0.02644,0.00719,886,0.00213,0.00565,846,0.02801,0.00680,841
7,-0.04860,0.00633,844,-0.02368,0.00707,844,0.00710,0.00560,807,0.02900,0.00705,803
8,-0.04414,0.00648,813,-0.01927,0.00689,813,0.00986,0.00587,777,0.02992,0.00711,774
9,-0.04389,0.00606,771,-0.01749,0.00652,771,0.01135,0.00587,737,0.03044,0.00716,735
10,-0.04359,0.00654,740,-0.01831,0.00690,740,0.01253,0.00626,707,0.03193,0.00731,704
