ITERATION,LINE_COVERAGE_mean,LINE_COVERAGE_hw,LINE_COVERAGE_n,BRANCH_COVERAGE_mean,BRANCH_COVERAGE_hw,BRANCH_COVERAGE_n,RAW_MUT_SCORE_mean,RAW_MUT_SCORE_hw,RAW_MUT_SCORE_n,COV_MUT_SCORE_mean,COV_MUT_SCORE_hw,COV_MUT_SCORE_n
0,0.5277,0.0137,1455,0.4346,0.0143,1455,0.2952,0.0100,1404,0.5050,0.0082,1370
1,0.6333,0.0151,1311,0.5209,0.0150,1311,0.3538,0.0118,1261,0.5143,0.0092,1238
2,0.6686,0.0153,1227,0.5612,0.0154,1227,0.3845,0.0125,1178,0.5296,0.0094,1160
3,0.6914,0.0154,1181,0.5896,0.0157,1181,0.4049,0.0131,1134,0.5400,0.0097,1120
4,0.7064,0.0156,1142,0.6108,0.0158,1142,0.4170,0.0134,1095,0.5459,0.0100,1083
5,0.7178,0.0156,1104,0.6238,0.0160,1104,0.4278,0.0138,1058,0.5513,0.0103,1048
6,0.7247,0.0157,1072,0.6342,0.0161,1072,0.4336,0.0140,1026,0.5539,0.0105,1017
7,0.7319,0.0157,1044,0.6439,0.0162,1044,0.4402,0.0141,1000,0.5558,0.0106,993
8,0.7370,0.0157,1021,0.6513,0.0163,1021,0.4458,0.0143,977,0.5588,0.0109,972
9,0.7414,0.0157,1000,0.6574,0.0164,1000,0.4506,0.0145,958,0.5612,0.0110,955
10,0.7454,0.0158,983,0.6640,0.0165,983,0.4552,0.0146,943,0.5637,0.0111,940
