ITERATION,LINE_COVERAGE_mean,LINE_COVERAGE_hw,LINE_COVERAGE_n,BRANCH_COVERAGE_mean,BRANCH_COVERAGE_hw,BRANCH_COVERAGE_n,RAW_MUT_SCORE_mean,RAW_MUT_SCORE_hw,RAW_MUT_SCORE_n,COV_MUT_SCORE_mean,COV_MUT_SCORE_hw,COV_MUT_SCORE_n
0,0.5277,0.0137,1455,0.4346,0.0143,1455,0.2952,0.0100,1404,0.5050,0.0082,1370
1,0.5845,0.0147,1333,0.4891,0.0150,1333,0.3463,0.0120,1283,0.5292,0.0088,1258
2,0.6142,0.0150,1270,0.5260,0.0153,1270,0.3754,0.0126,1220,0.5462,0.0089,1201
3,0.6340,0.0153,1220,0.5562,0.0155,1220,0.3948,0.0131,1171,0.5566,0.0093,1156
4,0.6479,0.0156,1173,0.5764,0.0158,1173,0.4088,0.0135,1126,0.5650,0.0095,1113
5,0.6574,0.0158,1132,0.5918,0.0159,1132,0.4191,0.0138,1085,0.5719,0.0097,1075
6,0.6636,0.0159,1107,0.6014,0.0161,1107,0.4257,0.0139,1062,0.5758,0.0098,1052
7,0.6705,0.0161,1078,0.6119,0.0162,1078,0.4356,0.0142,1034,0.5818,0.0100,1025
8,0.6779,0.0162,1048,0.6219,0.0164,1048,0.4428,0.0144,1005,0.5856,0.0102,997
9,0.6812,0.0163,1022,0.6276,0.0166,1022,0.4464,0.0146,979,0.5883,0.0103,971
10,0.6841,0.0166,993,0.6316,0.0168,993,0.4504,0.0149,950,0.5909,0.0105,941
