ITERATION,LINE_COVERAGE_delta_base_mean,LINE_COVERAGE_delta_base_std,LINE_COVERAGE_delta_base_n,LINE_COVERAGE_delta_base_p,BRANCH_COVERAGE_delta_base_mean,BRANCH_COVERAGE_delta_base_std,BRANCH_COVERAGE_delta_base_n,BRANCH_COVERAGE_delta_base_p,RAW_MUT_SCORE_delta_base_mean,RAW_MUT_SCORE_delta_base_std,RAW_MUT_SCORE_delta_base_n,RAW_MUT_SCORE_delta_base_p,COV_MUT_SCORE_delta_base_mean,COV_MUT_SCORE_delta_base_std,COV_MUT_SCORE_delta_base_n,COV_MUT_SCORE_delta_base_p
1,0.102,0.119,1311,<0.001,0.082,0.089,1311,<0.001,0.062,0.078,1261,<0.001,0.015,0.091,1236,<0.001
2,0.137,0.133,1227,<0.001,0.122,0.109,1227,<0.001,0.094,0.089,1178,<0.001,0.033,0.097,1158,<0.001
3,0.161,0.141,1181,<0.001,0.150,0.123,1181,<0.001,0.114,0.098,1134,<0.001,0.043,0.104,1118,<0.001
4,0.174,0.146,1142,<0.001,0.168,0.132,1142,<0.001,0.126,0.102,1095,<0.001,0.049,0.109,1081,<0.001
5,0.184,0.147,1104,<0.001,0.180,0.137,1104,<0.001,0.137,0.105,1058,<0.001,0.056,0.115,1045,<0.001
6,0.190,0.150,1072,<0.001,0.189,0.141,1072,<0.001,0.143,0.107,1026,<0.001,0.059,0.118,1014,<0.001
7,0.198,0.153,1044,<0.001,0.199,0.146,1044,<0.001,0.149,0.109,1000,<0.001,0.063,0.116,989,<0.001
8,0.201,0.154,1021,<0.001,0.204,0.148,1021,<0.001,0.153,0.111,977,<0.001,0.065,0.119,968,<0.001
9,0.205,0.153,1000,<0.001,0.209,0.149,1000,<0.001,0.157,0.111,958,<0.001,0.068,0.116,950,<0.001
10,0.208,0.154,983,<0.001,0.215,0.153,983,<0.001,0.161,0.111,943,<0.001,0.071,0.116,935,<0.001
