ITERATION,LINE_COVERAGE_delta_base_mean,LINE_COVERAGE_delta_base_std,LINE_COVERAGE_delta_base_n,LINE_COVERAGE_delta_base_p,BRANCH_COVERAGE_delta_base_mean,BRANCH_COVERAGE_delta_base_std,BRANCH_COVERAGE_delta_base_n,BRANCH_COVERAGE_delta_base_p,RAW_MUT_SCORE_delta_base_mean,RAW_MUT_SCORE_delta_base_std,RAW_MUT_SCORE_delta_base_n,RAW_MUT_SCORE_delta_base_p,COV_MUT_SCORE_delta_base_mean,COV_MUT_SCORE_delta_base_std,COV_MUT_SCORE_delta_base_n,COV_MUT_SCORE_delta_base_p
1,0.062,0.098,1333,<0.001,0.059,0.075,1333,<0.001,0.058,0.075,1283,<0.001,0.031,0.078,1252,<0.001
2,0.091,0.116,1270,<0.001,0.093,0.094,1270,<0.001,0.089,0.091,1220,<0.001,0.049,0.089,1195,<0.001
3,0.109,0.136,1220,<0.001,0.118,0.114,1220,<0.001,0.109,0.106,1171,<0.001,0.062,0.099,1149,<0.001
4,0.124,0.140,1173,<0.001,0.137,0.123,1173,<0.001,0.123,0.110,1126,<0.001,0.069,0.102,1107,<0.001
5,0.133,0.142,1132,<0.001,0.151,0.131,1132,<0.001,0.134,0.114,1085,<0.001,0.078,0.103,1068,<0.001
6,0.141,0.149,1107,<0.001,0.161,0.143,1107,<0.001,0.142,0.120,1062,<0.001,0.082,0.106,1045,<0.001
7,0.149,0.147,1078,<0.001,0.171,0.144,1078,<0.001,0.151,0.123,1034,<0.001,0.086,0.110,1018,<0.001
8,0.155,0.144,1048,<0.001,0.180,0.145,1048,<0.001,0.157,0.123,1005,<0.001,0.090,0.110,991,<0.001
9,0.161,0.146,1022,<0.001,0.187,0.149,1022,<0.001,0.162,0.125,979,<0.001,0.093,0.112,966,<0.001
10,0.163,0.147,993,<0.001,0.190,0.150,993,<0.001,0.165,0.127,950,<0.001,0.095,0.111,936,<0.001
