ITERATION,LINE_COVERAGE_delta_prev_mean,LINE_COVERAGE_delta_prev_std,LINE_COVERAGE_delta_prev_n,LINE_COVERAGE_delta_prev_p,BRANCH_COVERAGE_delta_prev_mean,BRANCH_COVERAGE_delta_prev_std,BRANCH_COVERAGE_delta_prev_n,BRANCH_COVERAGE_delta_prev_p,RAW_MUT_SCORE_delta_prev_mean,RAW_MUT_SCORE_delta_prev_std,RAW_MUT_SCORE_delta_prev_n,RAW_MUT_SCORE_delta_prev_p,COV_MUT_SCORE_delta_prev_mean,COV_MUT_SCORE_delta_prev_std,COV_MUT_SCORE_delta_prev_n,COV_MUT_SCORE_delta_prev_p
1,0.102,0.119,1311,<0.001,0.082,0.089,1311,<0.001,0.062,0.078,1261,<0.001,0.015,0.091,1236,<0.001
2,0.035,0.060,1227,<0.001,0.039,0.057,1227,<0.001,0.032,0.047,1178,<0.001,0.017,0.058,1159,<0.001
3,0.024,0.044,1181,<0.001,0.028,0.044,1181,<0.001,0.021,0.034,1134,<0.001,0.011,0.045,1119,<0.001
4,0.014,0.035,1142,<0.001,0.017,0.038,1142,<0.001,0.012,0.026,1095,<0.001,0.006,0.037,1083,<0.001
5,0.010,0.030,1104,<0.001,0.012,0.032,1104,<0.001,0.010,0.025,1058,<0.001,0.006,0.035,1047,<0.001
6,0.006,0.025,1072,<0.001,0.008,0.030,1072,<0.001,0.006,0.021,1026,<0.001,0.003,0.042,1017,0.038
7,0.006,0.026,1044,<0.001,0.009,0.032,1044,<0.001,0.006,0.022,1000,<0.001,0.003,0.019,992,<0.001
8,0.004,0.034,1021,<0.001,0.005,0.034,1021,<0.001,0.004,0.028,977,<0.001,0.002,0.028,972,0.007
9,0.004,0.028,1000,<0.001,0.006,0.029,1000,<0.001,0.004,0.023,958,<0.001,0.003,0.023,954,<0.001
10,0.003,0.019,983,<0.001,0.005,0.026,983,<0.001,0.003,0.019,943,<0.001,0.002,0.015,940,<0.001
