ITERATION,LINE_COVERAGE_delta_prev_mean,LINE_COVERAGE_delta_prev_std,LINE_COVERAGE_delta_prev_n,LINE_COVERAGE_delta_prev_p,BRANCH_COVERAGE_delta_prev_mean,BRANCH_COVERAGE_delta_prev_std,BRANCH_COVERAGE_delta_prev_n,BRANCH_COVERAGE_delta_prev_p,RAW_MUT_SCORE_delta_prev_mean,RAW_MUT_SCORE_delta_prev_std,RAW_MUT_SCORE_delta_prev_n,RAW_MUT_SCORE_delta_prev_p,COV_MUT_SCORE_delta_prev_mean,COV_MUT_SCORE_delta_prev_std,COV_MUT_SCORE_delta_prev_n,COV_MUT_SCORE_delta_prev_p
1,0.062,0.098,1333,<0.001,0.059,0.075,1333,<0.001,0.058,0.075,1283,<0.001,0.031,0.078,1252,<0.001
2,0.029,0.057,1270,<0.001,0.034,0.050,1270,<0.001,0.031,0.044,1220,<0.001,0.019,0.047,1200,<0.001
3,0.019,0.065,1220,<0.001,0.025,0.058,1220,<0.001,0.020,0.047,1171,<0.001,0.011,0.041,1155,<0.001
4,0.016,0.055,1173,<0.001,0.020,0.052,1173,<0.001,0.016,0.036,1126,<0.001,0.009,0.028,1112,<0.001
5,0.011,0.033,1132,<0.001,0.015,0.039,1132,<0.001,0.013,0.029,1085,<0.001,0.008,0.028,1074,<0.001
6,0.007,0.048,1107,<0.001,0.009,0.053,1107,<0.001,0.007,0.044,1062,<0.001,0.004,0.031,1052,<0.001
7,0.009,0.045,1078,<0.001,0.012,0.045,1078,<0.001,0.011,0.038,1034,<0.001,0.005,0.037,1024,<0.001
8,0.008,0.037,1048,<0.001,0.010,0.039,1048,<0.001,0.007,0.028,1005,<0.001,0.004,0.027,996,<0.001
9,0.005,0.033,1022,<0.001,0.007,0.033,1022,<0.001,0.005,0.024,979,<0.001,0.003,0.019,971,<0.001
10,0.003,0.041,993,0.012,0.004,0.045,993,0.002,0.005,0.037,950,<0.001,0.003,0.020,941,<0.001
